Index,Ground Truth,Prediction,Decision,Confidence
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
17,Shellcode,Exploits,BLOCK,0.27
18,Normal,Reconnaissance,BLOCK,0.58
19,Worms,Exploits,BLOCK,0.45
20,Normal,Normal,ALLOW,0.5
21,DoS,Reconnaissance,BLOCK,0.49
22,Normal,Exploits,BLOCK,0.53
23,Worms,Exploits,BLOCK,0.36
24,Normal,Exploits,BLOCK,0.44
25,Normal,Normal,ALLOW,0.5
26,Normal,Reconnaissance,BLOCK,0.49
27,Normal,DoS,BLOCK,0.68
28,Normal,Normal,ALLOW,0.5
29,Normal,Exploits,BLOCK,0.51
30,Normal,DoS,BLOCK,0.68
31,Generic,Generic,BLOCK,0.82
32,Normal,Normal,ALLOW,0.5
33,Backdoor,Reconnaissance,BLOCK,0.49
34,Backdoor,Exploits,BLOCK,0.61
35,Shellcode,Exploits,BLOCK,0.5
36,Normal,Normal,ALLOW,0.5
37,Reconnaissance,Exploits,BLOCK,0.39
